target,replicate,fastq1,fastq2,control1,control2
RFX1-human,4,https://www.encodeproject.org/files/ENCFF677RCM/@@download/ENCFF677RCM.fastq.gz,https://www.encodeproject.org/files/ENCFF954WVJ/@@download/ENCFF954WVJ.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFH/@@download/ENCFF002EFH.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFF/@@download/ENCFF002EFF.fastq.gz
RLF-human,1,https://www.encodeproject.org/files/ENCFF324OEM/@@download/ENCFF324OEM.fastq.gz,https://www.encodeproject.org/files/ENCFF812LUV/@@download/ENCFF812LUV.fastq.gz,https://www.encodeproject.org/files/ENCFF608MDV/@@download/ENCFF608MDV.fastq.gz,https://www.encodeproject.org/files/ENCFF240DTE/@@download/ENCFF240DTE.fastq.gz
RLF-human,2,https://www.encodeproject.org/files/ENCFF640JQI/@@download/ENCFF640JQI.fastq.gz,https://www.encodeproject.org/files/ENCFF765ZNI/@@download/ENCFF765ZNI.fastq.gz,https://www.encodeproject.org/files/ENCFF410PHD/@@download/ENCFF410PHD.fastq.gz,https://www.encodeproject.org/files/ENCFF368UOC/@@download/ENCFF368UOC.fastq.gz
RNF2-human,1,https://www.encodeproject.org/files/ENCFF044YZK/@@download/ENCFF044YZK.fastq.gz,https://www.encodeproject.org/files/ENCFF829JEX/@@download/ENCFF829JEX.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFH/@@download/ENCFF002EFH.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFF/@@download/ENCFF002EFF.fastq.gz
RNF2-human,2,https://www.encodeproject.org/files/ENCFF141NUM/@@download/ENCFF141NUM.fastq.gz,https://www.encodeproject.org/files/ENCFF777JFA/@@download/ENCFF777JFA.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFH/@@download/ENCFF002EFH.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFF/@@download/ENCFF002EFF.fastq.gz
RNF2-human,3,https://www.encodeproject.org/files/ENCFF250LUM/@@download/ENCFF250LUM.fastq.gz,https://www.encodeproject.org/files/ENCFF307RHE/@@download/ENCFF307RHE.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFA/@@download/ENCFF002EFA.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFD/@@download/ENCFF002EFD.fastq.gz
RNF2-human,4,https://www.encodeproject.org/files/ENCFF411FCT/@@download/ENCFF411FCT.fastq.gz,https://www.encodeproject.org/files/ENCFF446JLZ/@@download/ENCFF446JLZ.fastq.gz,https://www.encodeproject.org/files/ENCFF502GTS/@@download/ENCFF502GTS.fastq.gz,https://www.encodeproject.org/files/ENCFF498JMO/@@download/ENCFF498JMO.fastq.gz
RNF2-human,5,https://www.encodeproject.org/files/ENCFF470MPB/@@download/ENCFF470MPB.fastq.gz,https://www.encodeproject.org/files/ENCFF742JMT/@@download/ENCFF742JMT.fastq.gz,https://www.encodeproject.org/files/ENCFF259GQA/@@download/ENCFF259GQA.fastq.gz,https://www.encodeproject.org/files/ENCFF837MIV/@@download/ENCFF837MIV.fastq.gz
RNF2-human,6,https://www.encodeproject.org/files/ENCFF641RSL/@@download/ENCFF641RSL.fastq.gz,https://www.encodeproject.org/files/ENCFF941MBY/@@download/ENCFF941MBY.fastq.gz,n/a,n/a
RUNX1-human,1,https://www.encodeproject.org/files/ENCFF002DOZ/@@download/ENCFF002DOZ.fastq.gz,https://www.encodeproject.org/files/ENCFF002EGE/@@download/ENCFF002EGE.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFF/@@download/ENCFF002EFF.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFH/@@download/ENCFF002EFH.fastq.gz
RUNX1-human,2,https://www.encodeproject.org/files/ENCFF002DPH/@@download/ENCFF002DPH.fastq.gz,https://www.encodeproject.org/files/ENCFF002EGD/@@download/ENCFF002EGD.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFA/@@download/ENCFF002EFA.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFD/@@download/ENCFF002EFD.fastq.gz
SAP30-human,1,https://www.encodeproject.org/files/ENCFF124BQG/@@download/ENCFF124BQG.fastq.gz,https://www.encodeproject.org/files/ENCFF693YKU/@@download/ENCFF693YKU.fastq.gz,n/a,n/a
SIN3B-human,1,https://www.encodeproject.org/files/ENCFF044ZTQ/@@download/ENCFF044ZTQ.fastq.gz,https://www.encodeproject.org/files/ENCFF119GEQ/@@download/ENCFF119GEQ.fastq.gz,https://www.encodeproject.org/files/ENCFF259GQA/@@download/ENCFF259GQA.fastq.gz,https://www.encodeproject.org/files/ENCFF837MIV/@@download/ENCFF837MIV.fastq.gz
SIN3B-human,2,https://www.encodeproject.org/files/ENCFF526SSV/@@download/ENCFF526SSV.fastq.gz,https://www.encodeproject.org/files/ENCFF953OIR/@@download/ENCFF953OIR.fastq.gz,https://www.encodeproject.org/files/ENCFF498JMO/@@download/ENCFF498JMO.fastq.gz,https://www.encodeproject.org/files/ENCFF502GTS/@@download/ENCFF502GTS.fastq.gz
SKIL-human,1,https://www.encodeproject.org/files/ENCFF138KRI/@@download/ENCFF138KRI.fastq.gz,https://www.encodeproject.org/files/ENCFF411JNO/@@download/ENCFF411JNO.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFH/@@download/ENCFF002EFH.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFF/@@download/ENCFF002EFF.fastq.gz
SKIL-human,2,https://www.encodeproject.org/files/ENCFF310DAJ/@@download/ENCFF310DAJ.fastq.gz,https://www.encodeproject.org/files/ENCFF493LNW/@@download/ENCFF493LNW.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFA/@@download/ENCFF002EFA.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFD/@@download/ENCFF002EFD.fastq.gz
SMARCA4-human,1,https://www.encodeproject.org/files/ENCFF218VUS/@@download/ENCFF218VUS.fastq.gz,https://www.encodeproject.org/files/ENCFF890WRL/@@download/ENCFF890WRL.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFD/@@download/ENCFF002EFD.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFA/@@download/ENCFF002EFA.fastq.gz
SMARCA4-human,2,https://www.encodeproject.org/files/ENCFF281JRR/@@download/ENCFF281JRR.fastq.gz,https://www.encodeproject.org/files/ENCFF538IMN/@@download/ENCFF538IMN.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFF/@@download/ENCFF002EFF.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFH/@@download/ENCFF002EFH.fastq.gz
SMARCA4-human,3,https://www.encodeproject.org/files/ENCFF310JLM/@@download/ENCFF310JLM.fastq.gz,https://www.encodeproject.org/files/ENCFF670FTR/@@download/ENCFF670FTR.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFD/@@download/ENCFF002EFD.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFA/@@download/ENCFF002EFA.fastq.gz
SMARCA4-human,4,https://www.encodeproject.org/files/ENCFF444MWP/@@download/ENCFF444MWP.fastq.gz,https://www.encodeproject.org/files/ENCFF793GYQ/@@download/ENCFF793GYQ.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFH/@@download/ENCFF002EFH.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFF/@@download/ENCFF002EFF.fastq.gz
SMARCA5-human,1,https://www.encodeproject.org/files/ENCFF247XZL/@@download/ENCFF247XZL.fastq.gz,https://www.encodeproject.org/files/ENCFF444TNL/@@download/ENCFF444TNL.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFH/@@download/ENCFF002EFH.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFF/@@download/ENCFF002EFF.fastq.gz
SMARCA5-human,2,https://www.encodeproject.org/files/ENCFF387THV/@@download/ENCFF387THV.fastq.gz,https://www.encodeproject.org/files/ENCFF975TEJ/@@download/ENCFF975TEJ.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFD/@@download/ENCFF002EFD.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFA/@@download/ENCFF002EFA.fastq.gz
SMARCC2-human,1,https://www.encodeproject.org/files/ENCFF124VKG/@@download/ENCFF124VKG.fastq.gz,https://www.encodeproject.org/files/ENCFF287GOE/@@download/ENCFF287GOE.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFD/@@download/ENCFF002EFD.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFA/@@download/ENCFF002EFA.fastq.gz
SMARCC2-human,2,https://www.encodeproject.org/files/ENCFF147AFV/@@download/ENCFF147AFV.fastq.gz,https://www.encodeproject.org/files/ENCFF809LBJ/@@download/ENCFF809LBJ.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFA/@@download/ENCFF002EFA.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFD/@@download/ENCFF002EFD.fastq.gz
SMARCE1-human,1,https://www.encodeproject.org/files/ENCFF034ESF/@@download/ENCFF034ESF.fastq.gz,https://www.encodeproject.org/files/ENCFF668WFT/@@download/ENCFF668WFT.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFF/@@download/ENCFF002EFF.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFH/@@download/ENCFF002EFH.fastq.gz
SMARCE1-human,2,https://www.encodeproject.org/files/ENCFF531SYI/@@download/ENCFF531SYI.fastq.gz,https://www.encodeproject.org/files/ENCFF615EVJ/@@download/ENCFF615EVJ.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFA/@@download/ENCFF002EFA.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFD/@@download/ENCFF002EFD.fastq.gz
SNIP1-human,1,https://www.encodeproject.org/files/ENCFF165NMW/@@download/ENCFF165NMW.fastq.gz,https://www.encodeproject.org/files/ENCFF411TJB/@@download/ENCFF411TJB.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFF/@@download/ENCFF002EFF.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFH/@@download/ENCFF002EFH.fastq.gz
SNIP1-human,2,https://www.encodeproject.org/files/ENCFF663NBI/@@download/ENCFF663NBI.fastq.gz,https://www.encodeproject.org/files/ENCFF667DGY/@@download/ENCFF667DGY.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFD/@@download/ENCFF002EFD.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFA/@@download/ENCFF002EFA.fastq.gz
SOX6-human,1,https://www.encodeproject.org/files/ENCFF002DPJ/@@download/ENCFF002DPJ.fastq.gz,https://www.encodeproject.org/files/ENCFF002EGF/@@download/ENCFF002EGF.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFF/@@download/ENCFF002EFF.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFH/@@download/ENCFF002EFH.fastq.gz
SOX6-human,2,https://www.encodeproject.org/files/ENCFF002DPM/@@download/ENCFF002DPM.fastq.gz,https://www.encodeproject.org/files/ENCFF002DUA/@@download/ENCFF002DUA.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFA/@@download/ENCFF002EFA.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFD/@@download/ENCFF002EFD.fastq.gz
SP1-human,1,https://www.encodeproject.org/files/ENCFF002DPL/@@download/ENCFF002DPL.fastq.gz,https://www.encodeproject.org/files/ENCFF002EGC/@@download/ENCFF002EGC.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFF/@@download/ENCFF002EFF.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFH/@@download/ENCFF002EFH.fastq.gz
SP1-human,2,https://www.encodeproject.org/files/ENCFF002DPP/@@download/ENCFF002DPP.fastq.gz,https://www.encodeproject.org/files/ENCFF002EGO/@@download/ENCFF002EGO.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFA/@@download/ENCFF002EFA.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFD/@@download/ENCFF002EFD.fastq.gz
SUPT5H-human,1,https://www.encodeproject.org/files/ENCFF077SPQ/@@download/ENCFF077SPQ.fastq.gz,https://www.encodeproject.org/files/ENCFF383EJJ/@@download/ENCFF383EJJ.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFA/@@download/ENCFF002EFA.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFD/@@download/ENCFF002EFD.fastq.gz
SUPT5H-human,2,https://www.encodeproject.org/files/ENCFF086VLI/@@download/ENCFF086VLI.fastq.gz,https://www.encodeproject.org/files/ENCFF397FZD/@@download/ENCFF397FZD.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFF/@@download/ENCFF002EFF.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFH/@@download/ENCFF002EFH.fastq.gz
TAF7-human,1,https://www.encodeproject.org/files/ENCFF098GTH/@@download/ENCFF098GTH.fastq.gz,https://www.encodeproject.org/files/ENCFF926UQW/@@download/ENCFF926UQW.fastq.gz,https://www.encodeproject.org/files/ENCFF769QGP/@@download/ENCFF769QGP.fastq.gz,https://www.encodeproject.org/files/ENCFF860YMH/@@download/ENCFF860YMH.fastq.gz
TAF7-human,2,https://www.encodeproject.org/files/ENCFF099UOS/@@download/ENCFF099UOS.fastq.gz,https://www.encodeproject.org/files/ENCFF790ADI/@@download/ENCFF790ADI.fastq.gz,https://www.encodeproject.org/files/ENCFF860YMH/@@download/ENCFF860YMH.fastq.gz,https://www.encodeproject.org/files/ENCFF769QGP/@@download/ENCFF769QGP.fastq.gz
TAF9B-human,1,https://www.encodeproject.org/files/ENCFF451LYL/@@download/ENCFF451LYL.fastq.gz,https://www.encodeproject.org/files/ENCFF513XHM/@@download/ENCFF513XHM.fastq.gz,https://www.encodeproject.org/files/ENCFF502GTS/@@download/ENCFF502GTS.fastq.gz,https://www.encodeproject.org/files/ENCFF498JMO/@@download/ENCFF498JMO.fastq.gz
TAF9B-human,2,https://www.encodeproject.org/files/ENCFF497SRX/@@download/ENCFF497SRX.fastq.gz,https://www.encodeproject.org/files/ENCFF571LSL/@@download/ENCFF571LSL.fastq.gz,https://www.encodeproject.org/files/ENCFF259GQA/@@download/ENCFF259GQA.fastq.gz,https://www.encodeproject.org/files/ENCFF837MIV/@@download/ENCFF837MIV.fastq.gz
TAL1-human,1,https://www.encodeproject.org/files/ENCFF145TXO/@@download/ENCFF145TXO.fastq.gz,https://www.encodeproject.org/files/ENCFF793WFY/@@download/ENCFF793WFY.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFH/@@download/ENCFF002EFH.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFF/@@download/ENCFF002EFF.fastq.gz
TAL1-human,2,https://www.encodeproject.org/files/ENCFF768SQO/@@download/ENCFF768SQO.fastq.gz,https://www.encodeproject.org/files/ENCFF998YDA/@@download/ENCFF998YDA.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFA/@@download/ENCFF002EFA.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFD/@@download/ENCFF002EFD.fastq.gz
TARDBP-human,1,https://www.encodeproject.org/files/ENCFF228EWB/@@download/ENCFF228EWB.fastq.gz,https://www.encodeproject.org/files/ENCFF922VLO/@@download/ENCFF922VLO.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFH/@@download/ENCFF002EFH.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFF/@@download/ENCFF002EFF.fastq.gz
TARDBP-human,2,https://www.encodeproject.org/files/ENCFF654EXQ/@@download/ENCFF654EXQ.fastq.gz,https://www.encodeproject.org/files/ENCFF996BVX/@@download/ENCFF996BVX.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFA/@@download/ENCFF002EFA.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFD/@@download/ENCFF002EFD.fastq.gz
TCF12-human,1,https://www.encodeproject.org/files/ENCFF007HDS/@@download/ENCFF007HDS.fastq.gz,https://www.encodeproject.org/files/ENCFF873EXA/@@download/ENCFF873EXA.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFD/@@download/ENCFF002EFD.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFA/@@download/ENCFF002EFA.fastq.gz
TCF12-human,2,https://www.encodeproject.org/files/ENCFF017IMJ/@@download/ENCFF017IMJ.fastq.gz,https://www.encodeproject.org/files/ENCFF349MIY/@@download/ENCFF349MIY.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFF/@@download/ENCFF002EFF.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFH/@@download/ENCFF002EFH.fastq.gz
TCF12-human,3,https://www.encodeproject.org/files/ENCFF043MCW/@@download/ENCFF043MCW.fastq.gz,https://www.encodeproject.org/files/ENCFF520WVU/@@download/ENCFF520WVU.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFF/@@download/ENCFF002EFF.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFH/@@download/ENCFF002EFH.fastq.gz
TCF12-human,4,https://www.encodeproject.org/files/ENCFF171QIU/@@download/ENCFF171QIU.fastq.gz,https://www.encodeproject.org/files/ENCFF920GYM/@@download/ENCFF920GYM.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFA/@@download/ENCFF002EFA.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFD/@@download/ENCFF002EFD.fastq.gz
TEAD2-human,1,https://www.encodeproject.org/files/ENCFF335SYB/@@download/ENCFF335SYB.fastq.gz,https://www.encodeproject.org/files/ENCFF734FMS/@@download/ENCFF734FMS.fastq.gz,https://www.encodeproject.org/files/ENCFF031XFH/@@download/ENCFF031XFH.fastq.gz,https://www.encodeproject.org/files/ENCFF717YHU/@@download/ENCFF717YHU.fastq.gz
TEAD2-human,2,https://www.encodeproject.org/files/ENCFF442MPQ/@@download/ENCFF442MPQ.fastq.gz,https://www.encodeproject.org/files/ENCFF677HXI/@@download/ENCFF677HXI.fastq.gz,https://www.encodeproject.org/files/ENCFF031XFH/@@download/ENCFF031XFH.fastq.gz,https://www.encodeproject.org/files/ENCFF717YHU/@@download/ENCFF717YHU.fastq.gz
THRA-human,1,https://www.encodeproject.org/files/ENCFF097JYZ/@@download/ENCFF097JYZ.fastq.gz,https://www.encodeproject.org/files/ENCFF499VMV/@@download/ENCFF499VMV.fastq.gz,https://www.encodeproject.org/files/ENCFF498JMO/@@download/ENCFF498JMO.fastq.gz,https://www.encodeproject.org/files/ENCFF502GTS/@@download/ENCFF502GTS.fastq.gz
THRA-human,2,https://www.encodeproject.org/files/ENCFF405EAB/@@download/ENCFF405EAB.fastq.gz,https://www.encodeproject.org/files/ENCFF695OJN/@@download/ENCFF695OJN.fastq.gz,https://www.encodeproject.org/files/ENCFF837MIV/@@download/ENCFF837MIV.fastq.gz,https://www.encodeproject.org/files/ENCFF259GQA/@@download/ENCFF259GQA.fastq.gz
THRAP3-human,1,https://www.encodeproject.org/files/ENCFF025VPM/@@download/ENCFF025VPM.fastq.gz,https://www.encodeproject.org/files/ENCFF501VTR/@@download/ENCFF501VTR.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFH/@@download/ENCFF002EFH.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFF/@@download/ENCFF002EFF.fastq.gz
THRAP3-human,2,https://www.encodeproject.org/files/ENCFF251TJX/@@download/ENCFF251TJX.fastq.gz,https://www.encodeproject.org/files/ENCFF484TAP/@@download/ENCFF484TAP.fastq.gz,https://www.encodeproject.org/files/ENCFF837MIV/@@download/ENCFF837MIV.fastq.gz,https://www.encodeproject.org/files/ENCFF259GQA/@@download/ENCFF259GQA.fastq.gz
THRAP3-human,3,https://www.encodeproject.org/files/ENCFF814WTW/@@download/ENCFF814WTW.fastq.gz,https://www.encodeproject.org/files/ENCFF975CDD/@@download/ENCFF975CDD.fastq.gz,https://www.encodeproject.org/files/ENCFF498JMO/@@download/ENCFF498JMO.fastq.gz,https://www.encodeproject.org/files/ENCFF502GTS/@@download/ENCFF502GTS.fastq.gz
TOE1-human,1,https://www.encodeproject.org/files/ENCFF011GIB/@@download/ENCFF011GIB.fastq.gz,https://www.encodeproject.org/files/ENCFF640ZCM/@@download/ENCFF640ZCM.fastq.gz,https://www.encodeproject.org/files/ENCFF837MIV/@@download/ENCFF837MIV.fastq.gz,https://www.encodeproject.org/files/ENCFF259GQA/@@download/ENCFF259GQA.fastq.gz
TOE1-human,2,https://www.encodeproject.org/files/ENCFF440FMH/@@download/ENCFF440FMH.fastq.gz,https://www.encodeproject.org/files/ENCFF966PAQ/@@download/ENCFF966PAQ.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFA/@@download/ENCFF002EFA.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFD/@@download/ENCFF002EFD.fastq.gz
TOE1-human,3,https://www.encodeproject.org/files/ENCFF738RCP/@@download/ENCFF738RCP.fastq.gz,https://www.encodeproject.org/files/ENCFF831SWK/@@download/ENCFF831SWK.fastq.gz,https://www.encodeproject.org/files/ENCFF502GTS/@@download/ENCFF502GTS.fastq.gz,https://www.encodeproject.org/files/ENCFF498JMO/@@download/ENCFF498JMO.fastq.gz
TRIM24-human,1,https://www.encodeproject.org/files/ENCFF107WKN/@@download/ENCFF107WKN.fastq.gz,https://www.encodeproject.org/files/ENCFF950QCU/@@download/ENCFF950QCU.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFF/@@download/ENCFF002EFF.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFH/@@download/ENCFF002EFH.fastq.gz
TRIM24-human,2,https://www.encodeproject.org/files/ENCFF112ZYY/@@download/ENCFF112ZYY.fastq.gz,https://www.encodeproject.org/files/ENCFF567LMF/@@download/ENCFF567LMF.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFF/@@download/ENCFF002EFF.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFH/@@download/ENCFF002EFH.fastq.gz
TRIM24-human,3,https://www.encodeproject.org/files/ENCFF150KRT/@@download/ENCFF150KRT.fastq.gz,https://www.encodeproject.org/files/ENCFF983NMP/@@download/ENCFF983NMP.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFA/@@download/ENCFF002EFA.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFD/@@download/ENCFF002EFD.fastq.gz
TRIM24-human,4,https://www.encodeproject.org/files/ENCFF300IMG/@@download/ENCFF300IMG.fastq.gz,https://www.encodeproject.org/files/ENCFF334HNS/@@download/ENCFF334HNS.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFA/@@download/ENCFF002EFA.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFD/@@download/ENCFF002EFD.fastq.gz
TRIM25-human,1,https://www.encodeproject.org/files/ENCFF082ZXS/@@download/ENCFF082ZXS.fastq.gz,https://www.encodeproject.org/files/ENCFF133ABT/@@download/ENCFF133ABT.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFH/@@download/ENCFF002EFH.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFF/@@download/ENCFF002EFF.fastq.gz
TRIM25-human,2,https://www.encodeproject.org/files/ENCFF129OBS/@@download/ENCFF129OBS.fastq.gz,https://www.encodeproject.org/files/ENCFF563ZJO/@@download/ENCFF563ZJO.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFD/@@download/ENCFF002EFD.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFA/@@download/ENCFF002EFA.fastq.gz
TRIM25-human,3,https://www.encodeproject.org/files/ENCFF327UUQ/@@download/ENCFF327UUQ.fastq.gz,https://www.encodeproject.org/files/ENCFF954SNY/@@download/ENCFF954SNY.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFF/@@download/ENCFF002EFF.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFH/@@download/ENCFF002EFH.fastq.gz
TRIM25-human,4,https://www.encodeproject.org/files/ENCFF553CSZ/@@download/ENCFF553CSZ.fastq.gz,https://www.encodeproject.org/files/ENCFF973JII/@@download/ENCFF973JII.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFH/@@download/ENCFF002EFH.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFF/@@download/ENCFF002EFF.fastq.gz
TRIM28-human,1,https://www.encodeproject.org/files/ENCFF439KQS/@@download/ENCFF439KQS.fastq.gz,https://www.encodeproject.org/files/ENCFF784WEP/@@download/ENCFF784WEP.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFH/@@download/ENCFF002EFH.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFF/@@download/ENCFF002EFF.fastq.gz
TRIM28-human,2,https://www.encodeproject.org/files/ENCFF531XCH/@@download/ENCFF531XCH.fastq.gz,https://www.encodeproject.org/files/ENCFF914HTT/@@download/ENCFF914HTT.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFA/@@download/ENCFF002EFA.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFD/@@download/ENCFF002EFD.fastq.gz
TRIP13-human,1,https://www.encodeproject.org/files/ENCFF008APY/@@download/ENCFF008APY.fastq.gz,https://www.encodeproject.org/files/ENCFF451CTA/@@download/ENCFF451CTA.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFH/@@download/ENCFF002EFH.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFF/@@download/ENCFF002EFF.fastq.gz
TRIP13-human,2,https://www.encodeproject.org/files/ENCFF050QIO/@@download/ENCFF050QIO.fastq.gz,https://www.encodeproject.org/files/ENCFF387SYY/@@download/ENCFF387SYY.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFA/@@download/ENCFF002EFA.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFD/@@download/ENCFF002EFD.fastq.gz
TSC22D4-human,1,https://www.encodeproject.org/files/ENCFF014DOG/@@download/ENCFF014DOG.fastq.gz,https://www.encodeproject.org/files/ENCFF284BOO/@@download/ENCFF284BOO.fastq.gz,https://www.encodeproject.org/files/ENCFF898SRJ/@@download/ENCFF898SRJ.fastq.gz,https://www.encodeproject.org/files/ENCFF703OVM/@@download/ENCFF703OVM.fastq.gz
TSC22D4-human,2,https://www.encodeproject.org/files/ENCFF398EAS/@@download/ENCFF398EAS.fastq.gz,https://www.encodeproject.org/files/ENCFF493SOQ/@@download/ENCFF493SOQ.fastq.gz,https://www.encodeproject.org/files/ENCFF898SRJ/@@download/ENCFF898SRJ.fastq.gz,https://www.encodeproject.org/files/ENCFF703OVM/@@download/ENCFF703OVM.fastq.gz
XRCC3-human,1,https://www.encodeproject.org/files/ENCFF143IFX/@@download/ENCFF143IFX.fastq.gz,https://www.encodeproject.org/files/ENCFF356UYQ/@@download/ENCFF356UYQ.fastq.gz,https://www.encodeproject.org/files/ENCFF837MIV/@@download/ENCFF837MIV.fastq.gz,https://www.encodeproject.org/files/ENCFF259GQA/@@download/ENCFF259GQA.fastq.gz
XRCC3-human,2,https://www.encodeproject.org/files/ENCFF898UXT/@@download/ENCFF898UXT.fastq.gz,https://www.encodeproject.org/files/ENCFF971OYB/@@download/ENCFF971OYB.fastq.gz,https://www.encodeproject.org/files/ENCFF498JMO/@@download/ENCFF498JMO.fastq.gz,https://www.encodeproject.org/files/ENCFF502GTS/@@download/ENCFF502GTS.fastq.gz
YBX1-human,1,https://www.encodeproject.org/files/ENCFF011GGX/@@download/ENCFF011GGX.fastq.gz,https://www.encodeproject.org/files/ENCFF183DJQ/@@download/ENCFF183DJQ.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFF/@@download/ENCFF002EFF.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFH/@@download/ENCFF002EFH.fastq.gz
YBX1-human,2,https://www.encodeproject.org/files/ENCFF079PYC/@@download/ENCFF079PYC.fastq.gz,https://www.encodeproject.org/files/ENCFF909OVD/@@download/ENCFF909OVD.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFA/@@download/ENCFF002EFA.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFD/@@download/ENCFF002EFD.fastq.gz
