target,replicate,fastq1,fastq2,control1,control2
NR3C1-human,2,https://www.encodeproject.org/files/ENCFF195DWB/@@download/ENCFF195DWB.fastq.gz,https://www.encodeproject.org/files/ENCFF703FVJ/@@download/ENCFF703FVJ.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFA/@@download/ENCFF002EFA.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFD/@@download/ENCFF002EFD.fastq.gz
NR3C1-human,3,https://www.encodeproject.org/files/ENCFF349XHH/@@download/ENCFF349XHH.fastq.gz,https://www.encodeproject.org/files/ENCFF998XOV/@@download/ENCFF998XOV.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFF/@@download/ENCFF002EFF.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFH/@@download/ENCFF002EFH.fastq.gz
NR3C1-human,4,https://www.encodeproject.org/files/ENCFF798AFN/@@download/ENCFF798AFN.fastq.gz,https://www.encodeproject.org/files/ENCFF940DHI/@@download/ENCFF940DHI.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFA/@@download/ENCFF002EFA.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFD/@@download/ENCFF002EFD.fastq.gz
NR4A1-human,1,https://www.encodeproject.org/files/ENCFF301GRJ/@@download/ENCFF301GRJ.fastq.gz,https://www.encodeproject.org/files/ENCFF671VDI/@@download/ENCFF671VDI.fastq.gz,https://www.encodeproject.org/files/ENCFF113QAJ/@@download/ENCFF113QAJ.fastq.gz,https://www.encodeproject.org/files/ENCFF236YCR/@@download/ENCFF236YCR.fastq.gz
NR4A1-human,2,https://www.encodeproject.org/files/ENCFF681PIN/@@download/ENCFF681PIN.fastq.gz,https://www.encodeproject.org/files/ENCFF760LCQ/@@download/ENCFF760LCQ.fastq.gz,https://www.encodeproject.org/files/ENCFF113QAJ/@@download/ENCFF113QAJ.fastq.gz,https://www.encodeproject.org/files/ENCFF236YCR/@@download/ENCFF236YCR.fastq.gz
NRF1-human,1,https://www.encodeproject.org/files/ENCFF002DPA/@@download/ENCFF002DPA.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFX/@@download/ENCFF002EFX.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFF/@@download/ENCFF002EFF.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFH/@@download/ENCFF002EFH.fastq.gz
NRF1-human,2,https://www.encodeproject.org/files/ENCFF002DPB/@@download/ENCFF002DPB.fastq.gz,https://www.encodeproject.org/files/ENCFF002DUE/@@download/ENCFF002DUE.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFF/@@download/ENCFF002EFF.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFH/@@download/ENCFF002EFH.fastq.gz
NRF1-human,3,https://www.encodeproject.org/files/ENCFF002DPD/@@download/ENCFF002DPD.fastq.gz,https://www.encodeproject.org/files/ENCFF002EGB/@@download/ENCFF002EGB.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFA/@@download/ENCFF002EFA.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFD/@@download/ENCFF002EFD.fastq.gz
NRF1-human,4,https://www.encodeproject.org/files/ENCFF002DPF/@@download/ENCFF002DPF.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFZ/@@download/ENCFF002EFZ.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFA/@@download/ENCFF002EFA.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFD/@@download/ENCFF002EFD.fastq.gz
NUFIP1-human,1,https://www.encodeproject.org/files/ENCFF025YQV/@@download/ENCFF025YQV.fastq.gz,https://www.encodeproject.org/files/ENCFF572GPA/@@download/ENCFF572GPA.fastq.gz,https://www.encodeproject.org/files/ENCFF410PHD/@@download/ENCFF410PHD.fastq.gz,https://www.encodeproject.org/files/ENCFF368UOC/@@download/ENCFF368UOC.fastq.gz
